name,population,longitude,latitude,flaeche,region
"Leinfelden-Echterdingen, Stadt",41185,9.138976,48.693719,29.89,Region Stuttgart
"Bensheim, Stadt",41124,8.622171,49.680002,57.83,Odenwald-Bergstrasse-Neckartal
"Neumarkt i.d.OPf., GKSt",41103,11.45894,49.279417,79.01,Bayerischer Jura
Coburg,41064,10.964232,50.258421,48.29,Coburg.Rennsteig
"Völklingen, Stadt",40952,6.85431,49.249592,67.1,Übriges Saarland
"Germering, GKSt",40916,11.364874,48.130916,21.61,Münchener Umland
"Buxtehude, Hansestadt",40886,9.698611,53.475851,76.69,Unterelbe-Unterweser
Schwabach,40835,11.024451,49.328888,40.8,Städteregion Nürnberg
"Löhne, Stadt",40826,8.688425,52.189912,59.51,Teutoburger Wald
"Nürtingen, Stadt",40773,9.343281,48.625847,46.88,Region Stuttgart
"Nordhausen, Stadt",40767,10.791619,51.500441,108.24,Südharz-Kyffhäuser
"Eisenach, Stadt",40747,10.322388,50.977287,104.17,Welterberegion Wartburg-Hainich
Ansbach,40742,10.577254,49.303682,99.91,Romantisches Franken - vom Naturpark Frankenhöhe zur Romantischen Straße
"Königswinter, Stadt",40574,7.191597,50.676869,76.2,Bonn und Rhein-Sieg-Kreis
"Ahaus, Stadt",40176,7.005037,52.076104,151.24,Münsterland
"Würselen, Stadt",40145,6.13022,50.821466,34.39,Eifel und Region Aachen
"Pirna, Stadt",40128,13.938938,50.960723,53.06,Sächsische Schweiz
"Lemgo, Stadt",39905,8.900886,52.027912,100.85,Teutoburger Wald
"Ostfildern, Stadt",39778,9.301248,48.712327,22.81,Region Stuttgart
"Pirmasens, Stadt",39761,7.606009,49.19945,61.35,Pfalz
"Kehl, Stadt",39584,7.813177,48.572447,75.07,Mittlerer Schwarzwald
"Mettmann, Stadt",39542,6.978743,51.251915,42.56,Düsseldorf und Kreis Mettmann
"Königs Wusterhausen, Stadt",39360,13.624464,52.299444,96.04,Dahme-Seenland
"Freital, Stadt",39281,13.64812,50.997194,40.46,Elbland
"Hofheim am Taunus, Kreisstadt",39259,8.446053,50.088576,57.43,Main und Taunus
"Maintal, Stadt",38987,8.843408,50.139416,32.41,Spessart-Kinzigtal-Vogelsberg
"Ilmenau, Stadt",38834,10.915563,50.688839,198.69,Thüringer Wald
"Backnang, Stadt",38818,9.424452,48.94691,39.38,Region Stuttgart
"Langen (Hessen), Stadt",38785,8.679424,49.989495,29.12,Main und Taunus
"Ettlingen, Stadt",38578,8.405904,48.942,56.75,Nördlicher Schwarzwald
"Niederkassel, Stadt",38485,7.037503,50.811921,35.79,Bonn und Rhein-Sieg-Kreis
"Coesfeld, Stadt",38237,7.166744,51.944948,141.36,Münsterland
"Kamp-Lintfort, Stadt",38217,6.551987,51.500067,63.14,Niederrhein
"Greven, Stadt",38212,7.613202,52.092652,140.26,Münsterland
"Haltern am See, Stadt",38142,7.187214,51.743737,159.03,Ruhrgebiet
"Wesseling, Stadt",38106,6.979971,50.824083,23.37,Köln und Rhein-Erft-Kreis
"Weißenfels, Stadt",37929,11.966732,51.200338,113.96,"Halle, Saale, Unstrut"
"Neu-Isenburg, Hugenotten- und Waldenserstadt",37926,8.6953,50.054636,24.29,Main und Taunus
"Halberstadt, Stadt",37898,11.04731,51.896112,143.27,Harz und Harzvorland
"Stendal, Hansestadt",37850,11.858833,52.605755,269.24,Altmark
"Warendorf, Stadt",37703,7.988499,51.950713,176.88,Münsterland
"Saarlouis, Kreisstadt",37667,6.75122,49.31506,43.3,Übriges Saarland
"Bautzen / Budyšin, Stadt, Hochschulstadt / Wysokošulske město",37566,14.427688,51.180868,66.66,Oberlausitz/Niederschlesien
"Fürstenfeldbruck, GKSt",37420,11.253092,48.182775,32.52,Münchener Umland
"Papenburg, Stadt",37206,7.393067,53.078104,118.44,Grafschaft Bentheim-Emsland-Osnabrücker Land
"Erding, GKSt",37171,11.907169,48.306323,54.61,Münchener Umland
"Beckum, Stadt",37133,8.042672,51.75574,111.46,Münsterland
"Tuttlingen, Stadt",37109,8.818761,47.983725,90.45,Schwäbische Alb
"Sinsheim, Stadt",37036,8.878701,49.252996,126.99,Nördliches Baden-Württemberg
"Winsen (Luhe), Stadt",36961,10.209159,53.362425,109.77,Lüneburger Heide
"Meppen, Stadt",36930,7.291674,52.690751,188.4,Grafschaft Bentheim-Emsland-Osnabrücker Land
"Bitterfeld-Wolfen, Stadt",36592,12.325417,51.625079,87.23,Anhalt-Wittenberg
"Cloppenburg, Stadt",36565,8.042518,52.848368,70.86,Oldenburger Münsterland
"Porta Westfalica, Stadt",36521,8.914539,52.22962,105.22,Teutoburger Wald
"Mühlhausen/Thüringen, Stadt",36353,10.458418,51.209777,151.03,Welterberegion Wartburg-Hainich
"Emsdetten, Stadt",36159,7.527511,52.172195,72.06,Münsterland
"Bad Vilbel, Stadt",35961,8.741149,50.180878,25.68,Vogelsberg und Wetterau
"Limburg a. d. Lahn, Kreisstadt",35938,8.064098,50.387254,45.16,Westerwald-Lahn-Taunus
"Crailsheim, Stadt",35755,10.071139,49.135752,109.08,Nördliches Baden-Württemberg
"Voerde (Niederrhein), Stadt",35661,6.684584,51.595497,53.49,Niederrhein
"Balingen, Stadt",35623,8.851588,48.274036,90.32,Schwäbische Alb
"Dietzenbach, Kreisstadt",35561,8.781779,50.008939,21.68,Main und Taunus
"Datteln, Stadt",35473,7.342615,51.653082,66.1,Ruhrgebiet
"St. Ingbert, Stadt",35453,7.115276,49.27897,49.95,Übriges Saarland
"Lage, Stadt",35054,8.79254,51.991233,76.04,Teutoburger Wald
